 INFO [main] 2018-11-29 21:50:39.100 (AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 INFO [main] 2018-11-29 21:50:39.122 (AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52e6fdee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c80d78a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62150f9e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1a451d4d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7fa98a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15ff3e9e]
 INFO [main] 2018-11-29 21:52:22.843 (AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 INFO [main] 2018-11-29 21:52:22.861 (AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52e6fdee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c80d78a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62150f9e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1a451d4d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7fa98a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15ff3e9e]
 INFO [main] 2018-11-29 21:52:51.622 (AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 INFO [main] 2018-11-29 21:52:51.637 (AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52e6fdee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c80d78a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62150f9e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1a451d4d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7fa98a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15ff3e9e]
 INFO [main] 2018-11-29 21:53:56.548 (AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 INFO [main] 2018-11-29 21:53:56.565 (AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52e6fdee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c80d78a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62150f9e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1a451d4d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7fa98a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15ff3e9e]
 INFO [main] 2018-11-29 21:56:20.719 (AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
 INFO [main] 2018-11-29 21:56:20.734 (AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52e6fdee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c80d78a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62150f9e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1a451d4d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7fa98a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15ff3e9e]
 INFO [main] 2018-11-29 21:57:05.473 (AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
